t;T_surf;M_Europa;M_loss;R_Europa;Density
31700.0000;276.803955;5.16671069E+20;0.00000000;345165.969;3000.00000
31800.0000;276.803955;5.18261297E+20;0.00000000;345519.781;3000.00000
31900.0000;276.803955;5.19851525E+20;0.00000000;345872.875;3000.00000
32000.0000;276.803955;5.21441753E+20;0.00000000;346225.250;3000.00000
32100.0000;276.829712;5.23031981E+20;0.00000000;346576.906;3000.00000
32200.0000;276.829712;5.24622210E+20;0.00000000;346927.875;3000.00000
32300.0000;276.829712;5.26212438E+20;0.00000000;347278.125;3000.00000
32400.0000;276.829712;5.27802666E+20;0.00000000;347627.656;3000.00000
32500.0000;276.829712;5.29392894E+20;0.00000000;347976.500;3000.00000
32600.0000;276.829712;5.30983122E+20;0.00000000;348324.656;3000.00000
32700.0000;276.829712;5.32573350E+20;0.00000000;348672.125;3000.00000
32800.0000;276.829712;5.34163578E+20;0.00000000;349018.875;3000.00000
32900.0000;276.829712;5.35753806E+20;0.00000000;349364.938;3000.00000
33000.0000;276.829712;5.37344034E+20;0.00000000;349710.312;3000.00000
33100.0000;276.829712;5.38934262E+20;0.00000000;350055.031;3000.00000
33200.0000;276.829712;5.40524490E+20;0.00000000;350399.062;3000.00000
33300.0000;276.829712;5.42114718E+20;0.00000000;350742.438;3000.00000
33400.0000;276.829712;5.43704946E+20;0.00000000;351085.125;3000.00000
33500.0000;276.829712;5.45295174E+20;0.00000000;351427.156;3000.00000
33600.0000;276.829712;5.46885402E+20;0.00000000;351768.500;3000.00000
33700.0000;276.829712;5.48475631E+20;0.00000000;352109.188;3000.00000
33800.0000;276.829712;5.50065859E+20;0.00000000;352449.219;3000.00000
33900.0000;276.829712;5.51656087E+20;0.00000000;352788.594;3000.00000
34000.0000;276.829712;5.53246315E+20;0.00000000;353127.344;3000.00000
34100.0000;276.829712;5.54836543E+20;0.00000000;353465.438;3000.00000
34200.0000;276.829712;5.56426771E+20;0.00000000;353802.875;3000.00000
34300.0000;276.829712;5.58016999E+20;0.00000000;354139.656;3000.00000
34400.0000;276.829712;5.59607227E+20;0.00000000;354475.812;3000.00000
34500.0000;276.829712;5.61197455E+20;0.00000000;354811.344;3000.00000
34600.0000;276.829712;5.62787683E+20;0.00000000;355146.219;3000.00000
34700.0000;276.829712;5.64377911E+20;0.00000000;355480.469;3000.00000
34800.0000;276.829712;5.65968139E+20;0.00000000;355814.094;3000.00000
34900.0000;276.829712;5.67558367E+20;0.00000000;356147.094;3000.00000
35000.0000;276.829712;5.69148595E+20;0.00000000;356479.469;3000.00000
35100.0000;276.829712;5.70738823E+20;0.00000000;356811.219;3000.00000
35200.0000;276.829712;5.72329051E+20;0.00000000;357142.375;3000.00000
35300.0000;276.829712;5.73919280E+20;0.00000000;357472.906;3000.00000
